Date,Close,High,Low,Open,Volume
12-06-20,180.2012177,184.0213948,177.7440033,182.8887706,43373600
15-06-20,181.3529968,183.1575089,176.6209565,177.1680748,32770200
16-06-20,185.7971344,187.7264169,183.7718616,185.1444324,42556700
17-06-20,186.4402161,188.4366945,185.9122986,187.1984868,25687800
18-06-20,188.436676,188.5998478,186.2098298,186.2098298,23061600
19-06-20,187.3136444,191.2874,186.5649669,190.6155118,44441100
22-06-20,192.516037,192.6983952,187.3904557,187.9279664,32818900
23-06-20,193.8022003,195.7602766,193.3414644,193.9749653,30917400
24-06-20,189.8956451,195.0884078,188.6670453,193.5046701,36740600
25-06-20,192.2952423,192.5544044,187.6208043,189.8572437,27803900
26-06-20,188.4462891,191.8633334,187.0545173,191.7097548,54675800
29-06-20,190.4715729,190.5579554,185.7779332,187.9183826,26701600
30-06-20,195.3379822,196.1922433,189.799689,189.9340667,34310300
01-07-20,196.4801788,198.0639311,193.6678413,194.9828237,32061200
02-07-20,197.9775085,199.6668441,196.7681098,197.420797,29315800
06-07-20,202.2392578,202.6519986,199.7340628,200.4443531,31897600
07-07-20,199.8876343,206.0498347,199.63808,201.9992894,33600700
08-07-20,204.2837067,204.6964328,200.309951,201.6345411,33600000
09-07-20,205.713913,207.6911906,202.9783498,207.6431954,33121700
10-07-20,205.0899658,205.4835056,202.6039722,205.0419707,26177600
13-07-20,198.7550354,207.134475,198.2079169,205.867473,38135600
14-07-20,199.9836121,200.4635343,193.9173877,197.852756,37591800
15-07-20,199.6860504,202.8439471,196.7969236,201.1450182,32179400
16-07-20,195.7314606,197.4399824,194.1861106,197.1520261,29940700
17-07-20,194.7332764,196.8065296,193.3031026,196.2594258,31635300
20-07-20,203.1031189,203.7750072,194.8580428,196.7681388,36884800
21-07-20,200.3675079,205.3491025,199.6764188,205.0803472,37990400
22-07-20,203.2470551,203.7749724,200.0219772,200.7994489,49605700
23-07-20,194.4069061,202.450408,194.0325673,198.870192,67457000
24-07-20,193.2167206,194.7140758,189.5789014,192.3720526,39827000
27-07-20,195.6643524,195.7795291,192.7944114,193.3799173,30160900
28-07-20,193.9078064,196.4801828,193.6390511,195.4339558,23251400
29-07-20,195.8659058,196.4322106,193.8982212,194.3685504,19632600
30-07-20,195.7123108,196.2498361,191.5561965,192.9287673,25079600
31-07-20,196.7776947,196.8640918,191.0186283,196.192189,51044000
03-08-20,207.844696,208.9005307,201.9896541,203.0262878,78983000
04-08-20,204.7252502,206.1458308,201.8649174,205.5699182,49280100
05-08-20,204.3892975,206.3665749,203.0743152,206.2705846,28806400
06-08-20,207.662384,207.6815704,203.055127,203.8133978,32656800
07-08-20,203.9477234,207.0384234,202.4599617,206.2225645,27820400
10-08-20,199.8876343,203.3718748,198.0639354,203.170301,36716500
11-08-20,195.2131958,199.3117216,194.9828278,198.8414071,36446500
12-08-20,200.7898865,201.8361135,196.5281743,197.0464839,28013100
13-08-20,200.3195648,202.8631618,199.7916474,201.0298551,22588900
14-08-20,200.5115051,201.1738002,199.1773219,200.3771275,17958900
17-08-20,201.8361359,202.709598,200.5307465,201.1834485,20184800
18-08-20,202.9975128,203.8325728,200.8090686,202.0760557,21336200
19-08-20,201.7659912,204.0751959,201.3330199,203.4882747,27627600
20-08-20,206.4612885,206.8653958,201.0058168,201.6119705,26981500
21-08-20,204.9603729,208.0681615,204.7968067,205.7685879,36249300
24-08-20,205.605011,207.3657744,204.3926739,206.6633835,25460100
25-08-20,208.2798462,208.4145487,205.037355,205.037355,23043700
26-08-20,212.7827301,213.6871673,209.1361321,209.6364619,39600800
27-08-20,218.0072937,222.404379,211.0989431,214.4569034,57602200
28-08-20,220.2491608,221.9137019,218.0073149,219.5467699,26292900
31-08-20,216.9970398,220.0471006,215.8231975,218.4114233,28774200
01-09-20,218.6711731,218.8443557,215.9386142,216.9777538,25725500
02-09-20,222.885498,224.0497241,218.7482006,219.3447382,34080800
03-09-20,209.0784149,220.6340089,206.8269528,220.5955288,58400300
04-09-20,206.1437988,210.0982966,197.4265885,206.9616447,59664100
08-09-20,194.9923248,202.0834748,194.5497226,198.6870342,52924300
09-09-20,203.2958069,206.7114951,198.8794737,199.7454309,45679000
10-09-20,197.599762,206.6152553,196.3874397,205.3259434,35461500
11-09-20,196.3104858,200.7364499,193.6260525,199.3605465,33620100
14-09-20,197.6382751,201.2848733,196.310483,196.5125441,30375800
15-09-20,200.8807678,201.8429326,199.1007571,200.5343879,21823900
16-09-20,197.2919006,202.6800149,196.8974095,202.6511511,26328100
17-09-20,195.2328491,196.5991213,192.3944661,192.4810574,34011300
18-09-20,192.808197,195.9448489,188.8248355,195.1270176,55225300
21-09-20,194.8768463,195.0404272,188.9499225,189.7292736,39839700
22-09-20,199.5722351,200.2265149,194.4342782,197.3015254,33517100
23-09-20,193.0006561,200.226524,192.4618461,200.0340793,30803800
24-09-20,195.5022736,197.7922305,191.6632306,192.2886466,31202500
25-09-20,199.9570923,201.1309198,194.8768487,195.8486446,29437300
28-09-20,201.5157776,204.5273578,200.1879856,202.9012971,32004900
29-09-20,199.4182587,202.1219539,198.9852875,201.4291941,24221900
30-09-20,202.3721466,203.9597128,198.7255334,199.870512,33829100
01-10-20,204.4215393,205.8936503,203.324672,205.4125679,27158400
02-10-20,198.3887329,203.0071262,197.7633171,200.1302486,33154800
05-10-20,202.4202271,202.4490908,199.1488581,199.3797829,21331600
06-10-20,198.1193695,202.2278029,197.0706133,200.9192728,28554300
07-10-20,201.8910217,202.1604267,198.8986889,199.2258214,25681100
08-10-20,202.6126709,203.199592,200.4381837,202.5453123,19925800
09-10-20,207.6447906,207.6929018,203.2380739,203.2380739,26458000
12-10-20,213.0232849,215.3902168,208.6069519,210.5120341,40461400
13-10-20,214.4280701,216.6891635,212.0900017,214.2933676,28950800
14-10-20,212.5037079,215.736582,210.839167,214.5627399,23421700
15-10-20,211.3491516,212.0226641,207.8372408,208.8860117,22733100
16-10-20,211.3491516,213.8796354,211.0220191,211.820603,26057900
19-10-20,206.1149445,213.8892378,205.6338621,212.0803633,27625800
20-10-20,206.5286255,209.1457144,205.0276511,207.6351236,22753500
21-10-20,206.6730042,208.7127888,205.0565596,205.0565596,22724900
22-10-20,206.7595978,207.8853289,203.6902897,205.8359131,22351500
23-10-20,208.0489044,208.0970156,205.0950659,206.8943095,18879600
26-10-20,202.1315765,208.1547227,200.2264944,205.7589418,37111600
27-10-20,205.1816559,206.5479282,202.3721363,203.5844587,36700300
28-10-20,195.0115356,200.9384738,194.453493,199.8127428,51195600
29-10-20,196.97435,199.5144641,195.6754218,196.3489488,31432600
30-10-20,194.809494,196.5606262,192.0673187,195.8005225,36953700
02-11-20,194.6748047,197.5131879,192.548414,196.5606395,30842200
03-11-20,198.6196594,200.2457202,195.4348965,196.1757675,27512000
04-11-20,208.2028046,210.0597899,204.3830098,205.9224791,42311800
05-11-20,214.8417816,215.6403802,212.7827494,213.6390756,36080100
06-11-20,215.2554932,215.871278,209.7807735,213.8507262,25231900
09-11-20,210.1271362,219.4889941,209.6364375,215.9482353,44395000
10-11-20,203.0263824,208.3086723,201.7851964,206.3843428,44045100
11-11-20,208.3567963,209.7904125,204.1713734,204.3541871,29440800
12-11-20,207.2888184,210.819962,206.3459008,208.9918544,21593900
13-11-20,208.3182983,209.1938718,206.0572198,208.1739795,18621100
16-11-20,209.0110474,209.5017608,206.4035891,206.7403379,24953300
17-11-20,206.3458862,209.4440436,205.9802589,207.923836,24154100
18-11-20,203.6254272,207.5709799,203.4807159,206.1046566,28372800
19-11-20,204.9180756,205.5065331,202.5160083,203.9148112,24792700
20-11-20,202.9597931,205.7573698,202.5835671,204.7058681,22843100
23-11-20,202.6896973,204.7927007,200.808567,203.5000281,25683500
24-11-20,206.3072815,206.6835076,201.4838624,202.1880775,33979700
25-11-20,206.3169098,207.686759,204.9567169,207.5131229,21012900
27-11-20,207.628891,208.6321704,206.4809149,207.2623212,14512200
30-11-20,206.5098572,207.1754766,203.3939181,206.5387965,33064800
01-12-20,208.574295,209.6450947,205.8152987,206.9343208,30904500
02-12-20,207.7639465,207.8604208,205.2847168,207.2912609,23724500
03-12-20,206.6738434,208.7382659,206.1046688,207.0307716,25120900
04-12-20,206.7895966,207.773578,205.6512621,206.6545414,24666000
07-12-20,206.7220764,207.9279311,205.4679993,206.7992529,24620000
08-12-20,208.3813324,209.2881375,205.3715238,206.413384,23284100
09-12-20,204.3199921,207.6288498,203.7508323,207.5613296,32440600
10-12-20,203.0852203,205.5548083,202.9308674,204.291075,26733300
11-12-20,205.7285004,205.7863938,201.7250677,202.631873,30979400
14-12-20,206.6352692,208.574293,205.3618942,205.5741258,28798400
15-12-20,206.5677185,207.812154,204.744467,207.570983,27000600
16-12-20,211.5358276,212.3365168,207.1368726,207.1658119,35023300
17-12-20,211.670929,213.0890154,210.2239032,212.1050337,32515800
18-12-20,210.870224,211.931382,208.3909943,210.870224,63354900
21-12-20,214.7289886,216.0891965,209.6065194,209.8669882,37181900
22-12-20,216.0312653,217.661583,214.0150799,214.8254107,22612200
23-12-20,213.2144012,215.6646914,213.0021696,215.2305867,18699600
24-12-20,214.8833008,215.7129294,213.3880381,213.6002697,10550600
28-12-20,217.0152435,218.0474474,215.1437549,216.5232454,17933500
29-12-20,216.233902,219.1568932,215.6840398,218.3176228,17403200
30-12-20,213.8511047,217.6616176,213.6485294,217.2757353,20272300
31-12-20,214.5649872,215.1245056,211.921748,213.8704136,20942100
04-01-21,210.0020294,215.1244983,207.2237352,214.6710957,37130100
05-01-21,210.2046051,210.8027191,208.0823036,209.587208,23823000
06-01-21,204.7541046,208.8443686,204.455055,204.6769282,35930700
07-01-21,210.5807953,211.5937161,206.162557,206.4808896,27694500
08-01-21,211.8638153,212.7899181,209.3652882,210.9570103,22956200
11-01-21,209.8090515,211.1789005,209.0758825,210.7544374,23031300
12-01-21,207.3394775,209.4328543,205.7863508,208.8540381,23249300
13-01-21,208.6996918,209.1048572,206.3748003,206.461633,20087100
14-01-21,205.4969635,209.7801623,205.2268532,208.2848993,29480800
15-01-21,205.1399841,206.9342964,204.5418849,205.979269,31746500
19-01-21,208.7961731,209.3170959,205.12073,206.2011712,30480900
20-01-21,216.41716,217.8159486,209.6161363,210.0116602,37777300
21-01-21,217.0249023,218.3079335,214.5649559,216.7644336,30709400
22-01-21,217.9702911,221.9447982,217.8255945,219.0603885,30172700
25-01-21,221.4238739,221.6650449,216.3014052,221.02835,33152100
26-01-21,224.1249847,225.9096409,221.9544462,223.6715822,49169600
27-01-21,224.6748505,231.9485745,222.0123285,229.5947437,69870600
28-01-21,230.4918518,234.0708345,226.7874702,227.2891098,49111200
29-01-21,223.7680511,229.6140324,223.1795935,227.6557255,42503100
01-02-21,231.1864777,233.9358325,224.2214591,226.7585823,33314200
02-02-21,231.0514069,233.7525244,230.2603738,232.7781991,25916300
03-02-21,234.4181213,236.4343066,230.8101993,231.1092636,27158100
04-02-21,233.4631042,234.6496758,231.8810235,234.0901575,25296100
05-02-21,233.6464386,234.688299,231.9293024,233.6753779,18054800
08-02-21,233.9068909,235.0741501,232.3055122,234.5628688,22211900
09-02-21,235.160965,236.1159925,232.8553714,233.328057,23565000
10-02-21,234.2445221,237.235033,232.3826747,236.3475257,22186700
11-02-21,235.855545,236.4922252,233.5981738,236.1352969,15751100
12-02-21,236.3378754,236.636925,234.1576807,235.3152982,16561100
16-02-21,235.0934296,237.4376188,234.3409774,236.3764607,26728500
17-02-21,236.1183777,236.2247379,232.9662703,233.3336992,21653500
18-02-21,235.7219086,235.8572748,232.8888823,233.7977759,16925600
19-02-21,232.9952393,235.7895958,232.2313756,235.6832356,25262600
22-02-21,226.7490082,230.0558233,224.7088369,229.5627068,36446900
23-02-21,225.5500793,227.0584498,221.1603195,222.7073744,30228700
24-02-21,226.787735,227.4162178,221.4214054,222.3979748,26339700
25-02-21,221.4117432,226.8264063,220.3384772,224.3994783,39542200
26-02-21,224.6895294,227.5805677,221.9435063,223.8676538,37819200
01-03-21,229.0986176,229.6110763,225.434037,228.0930275,25324000
02-03-21,226.1302032,229.4466971,225.7241047,229.1662862,22812500
03-03-21,220.0290375,225.8498134,219.7389628,224.4768092,34029500
04-03-21,219.2265472,224.7959341,216.8382887,219.2362257,44727800
05-03-21,223.9353333,225.5500638,218.9654393,221.9241679,41872800
08-03-21,219.8646698,225.6467613,219.6132796,223.7129501,35267400
09-03-21,226.0432129,227.5902679,224.0030413,225.1730037,33080500
